brand|cpu|graphics|hd|lastUpdated|link|model|price|ram|screenSize|store|title|upc
Lenovo|Intel Celeron|""|64GB eMMC Flash Memory|2019-09-28 07:06|https://www.bestbuy.com//site/lenovo-ideapad-130s-11-6-laptop-intel-celeron-4gb-memory-64gb-emmc-flash-memory-mineral-gray/6331986.p?skuId=6331986|81KT000AUS|209.99|4|11.6|Bestbuy|"Lenovo - IdeaPad 130S 11.6'" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Mineral Gray"|6131501
||||2019-09-28 07:06|https://www.bestbuy.com//site/microsoft-surface-pro-6-12-3-touch-screen-intel-core-i5-8gb-memory-256gb-solid-state-drive-with-keyboard-black/6306014.p?skuId=6306014|LJM-00028|-1|||Bestbuy|"Microsoft - Surface Pro 6 - 12.3'" Touch Screen - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - With Keyboard - Black"|6358843
Dell|Intel Core i7|GeForce MX250|512GB SSD + Optane|2019-09-28 07:06|https://www.bestbuy.com//site/dell-inspiron-15-6-7000-2-in-1-4k-ultra-hd-touch-screen-laptop-intel-core-i7-16gb-geforce-mx250-512gb-ssd-optane-black/6339275.p?skuId=6339275|I7590-7117BLK-PUS|1499.99|""|15.6|Bestbuy|"Dell - Inspiron 15.6'" 7000 2-in-1 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB - GeForce MX250 - 512GB SSD + Optane - Black"|6359610
Apple|"13'" Display"|""|128GB Flash Storage|2019-09-28 07:06|https://www.bestbuy.com//site/apple-macbook-pro-13-display-intel-core-i5-8-gb-memory-128gb-flash-storage-silver/5721726.p?skuId=5721726|MPXR2LL/A|999.99|""|""|Bestbuy|"Apple - MacBook Pro® - 13'" Display - Intel Core i5 - 8 GB Memory - 128GB Flash Storage - Silver"|6364575
Lenovo|Snapdragon 850|""|128GB Solid State Drive (Verizon)|2019-09-28 07:06|https://www.bestbuy.com//site/lenovo-yoga-c630-wos-2-in-1-13-3-touch-screen-laptop-snapdragon-850-8gb-memory-128gb-solid-state-drive-verizon-iron-gray/6323660.p?skuId=6323660|81JL0018US|599.99|8|13.3|Bestbuy|"Lenovo - Yoga C630 WOS 2-in-1 13.3'" Touch-Screen Laptop - Snapdragon 850 - 8GB Memory - 128GB Solid State Drive (Verizon) - Iron Gray"|6323662
Samsung|AMD Ryzen 5|""|256GB Solid State Drive|2019-09-28 07:06|https://www.bestbuy.com//site/samsung-notebook-7-spin-2-in-1-15-6-touch-screen-laptop-amd-ryzen-5-8gb-memory-256gb-solid-state-drive-black-garnet/6334769.p?skuId=6334769|NP750QUB-K01US|799.99|8|15.6|Bestbuy|"Samsung - Notebook 7 Spin 2-in-1 15.6'" Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 256GB Solid State Drive - Black Garnet"|6364580
Acer|Intel Celeron|""|16GB eMMC Flash Memory|2019-09-28 07:06|https://www.bestbuy.com//site/acer-15-6-refurbished-chromebook-intel-celeron-2gb-memory-16gb-emmc-flash-memory-granite-gray/6202723.p?skuId=6202723|NX.GHJAA.007|133|2|15.6|Bestbuy|"Acer - 15.6'" Refurbished Chromebook - Intel Celeron - 2GB Memory - 16GB eMMC Flash Memory - Granite Gray"|6376417
ASUS|Intel Core i7|NVIDIA GeForce GTX 1050|1TB Hard Drive + 256GB SSD|2019-09-28 07:06|https://www.bestbuy.com//site/asus-17-3-gaming-laptop-intel-core-i7-16gb-memory-nvidia-geforce-gtx-1050-1tb-hard-drive-256gb-ssd-metal-star-gray/6333152.p?skuId=6333152|N705FDES76|1099.99|16|17.3|Bestbuy|"ASUS - 17.3'" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1050 - 1TB Hard Drive + 256GB SSD - Metal Star Gray"|6296005
Dell|Intel Core i7|""|2TB Hard Drive|2019-09-28 07:06|https://www.bestbuy.com//site/dell-inspiron-17-3-laptop-intel-core-i7-16gb-memory-2tb-hard-drive-black/6347449.p?skuId=6347449|I3780-7766BLK-PUS|849.99|16|17.3|Bestbuy|"Dell - Inspiron 17.3'" Laptop - Intel Core i7 - 16GB Memory - 2TB Hard Drive - Black"|6333152
ASUS|Intel Celeron|""|64GB eMMC Flash Memory|2019-09-28 07:06|https://www.bestbuy.com//site/asus-15-6-chromebook-intel-celeron-4gb-memory-64gb-emmc-flash-memory-silver/6358061.p?skuId=6358061|C523NA-BCLN6|269|4|15.6|Bestbuy|"ASUS - 15.6'" Chromebook - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Silver"|6374412
ASUS|Intel Core i7|""|512GB SSD|2019-09-28 07:06|https://www.bestbuy.com//site/asus-zenbook-s-ux391fa-13-3-4k-ultra-hd-touch-screen-laptop-intel-core-i7-16gb-memory-512gb-ssd-deep-dive-blue/6329960.p?skuId=6329960|UX391FAXH74T|1499.99|16|13.3|Bestbuy|"ASUS - ZenBook S UX391FA 13.3'" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD - Deep Dive Blue"|6307206
Apple|Intel Core i5|""|500GB Hard Drive|2019-09-28 07:06|https://www.bestbuy.com//site/apple-macbook-pro-13-3-refurbished-laptop-intel-core-i5-16gb-memory-500gb-hard-drive-silver/6136400.p?skuId=6136400|MD313LL/A16|679.99|16|13.3|Bestbuy|"Apple - Macbook Pro® 13.3'" Refurbished Laptop - Intel Core i5 - 16GB Memory - 500GB Hard Drive - Silver"|6344885
Acer|Intel Core i5|""|1TB Hard Drive|2019-09-28 07:06|https://www.bestbuy.com//site/acer-aspire-5-15-6-refurbished-laptop-intel-core-i5-4gb-memory-1tb-hard-drive-obsidian-black/6307209.p?skuId=6307209|NX.H1CAA.001|444.99|4|15.6|Bestbuy|"Acer - Aspire 5 15.6'" Refurbished Laptop - Intel Core i5 - 4GB Memory - 1TB Hard Drive - Obsidian Black"|6345092
ASUS|Intel Core i5|""|256GB Solid State Drive|2019-09-28 07:06|https://www.bestbuy.com//site/asus-vivobook-14-laptop-intel-core-i5-8gb-memory-256gb-solid-state-drive-metal-silver/6360987.p?skuId=6360987|S412FAXB51|699.99|8|14.0|Bestbuy|"ASUS - VivoBook 14'" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Metal Silver"|6344882
HP|Intel Core i5|""|256GB Solid State Drive|2019-09-28 07:06|https://www.bestbuy.com//site/hp-pavilion-x360-2-in-1-15-6-touch-screen-laptop-intel-core-i5-8gb-memory-256gb-solid-state-drive-hp-finish-in-natural-silver/6344770.p?skuId=6344770|15-DQ0077NR|799.99|8|15.6|Bestbuy|"HP - Pavilion x360 2-in-1 15.6'" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - HP Finish In Natural Silver"|6219230
HP|Intel Core i5|""|120GB Solid State Drive|2019-09-28 07:06|https://www.bestbuy.com//site/hp-elitebook-12-5-refurbished-laptop-intel-core-i5-8gb-memory-120gb-solid-state-drive-silver/6297020.p?skuId=6297020|820 G1-31268|252.99|8|12.5|Bestbuy|"HP - EliteBook 12.5'" Refurbished Laptop - Intel Core i5 - 8GB Memory - 120GB Solid State Drive - Silver"|6345084
