Dell|E6230i5-3320m|12.5|Intel Ci5-3320m|4|250|696897763632|399|https://www.frys.com/product/9907916?site=sr:SEARCH:MAIN_RSLT_PG|"Dell E6230 12.5'" Refurbished Laptop With Intel Ci5-3320m Processor, 4GB Memory, 250GB Hard Drive, Windows 10"|2019-09-24 17:48
Lenovo|N21CeleronN2840|11.6|Intel Celeron N2840|4|16|696897764257|199|https://www.frys.com/product/9914956?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo N21 11.6'" Refurbished Chromebook With Intel Celeron N2840 Processor, 4GB Memory, 16GB Storage, Chrome OS"|2019-09-24 17:48
Lenovo|TPX220i5-2520M|12.5|Intel Ci5-2520M|4|160|696897752902|349|https://www.frys.com/product/9831155?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP X220 12.5'" Refurbished Laptop With Intel Ci5-2520M Processor, 4GB Memory, 160GB Hard Drive, Windows 10"|2019-09-24 17:48
HP|8470PCi5-3230M|14.0|Intel Core i5-3230M|8|320|696897734717|399|https://www.frys.com/product/9647583?site=sr:SEARCH:MAIN_RSLT_PG|"HP 8470P 14'" Refurbished Laptop with Intel Core i5-3230M Processor 8GB Memory, 320GB Hard Drive,DVD, Windows 10 **90 Days Warranty**"|2019-09-24 17:48
Lenovo|TPX240i5-4300U|12.5|Intel Ci5-4300u|8|500|696897764264|399|https://www.frys.com/product/9914966?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP X240 12.5'" Refurbished Laptop With Intel Ci5-4300u Processor, 8GB Memory, 500GB Hard Drive, Windows 10"|2019-09-24 17:48
Dell|E6440Ci5-4200M|14.0|Intel Ci5-4200M|16|512|724962745983|599|https://www.frys.com/product/9939176?site=sr:SEARCH:MAIN_RSLT_PG|"Dell E6440 14'" Refurbished Laptop With Intel Ci5-4200M Processor, 16GB Memory, 512GB SSD, Windows 10"|2019-09-24 17:48
Lenovo|T420Ci5-2520M|14.1|Ci5-2520M|4|250|696897743108|349|https://www.frys.com/product/9721554?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo T420 14.1'" Refurbished Laptop With Ci5-2520M Processor, 4GB Memory, 250GB Hard Drive and Windows 10"|2019-09-24 17:48
Dell|E7440Ci5-4200U|14.0|Intel Ci5-4200U|8|128|696897751165|499|https://www.frys.com/product/9799944?site=sr:SEARCH:MAIN_RSLT_PG|"Dell E7440 14'" Touchscreen Refurbished Laptop With Intel Ci5-4200U Processor, 8GB Memory, 128GB SSD, Windows 10"|2019-09-24 17:48
Lenovo|X131EIntel1007U|11.6|Intel Celeron 1007U|4|320|696897751226|249|https://www.frys.com/product/9797874?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo X131E 11.6'" Refurbished Laptop With Intel Celeron 1007U Processor, 4GB Memory, 320GB Hard Drive, Windows 10 Home"|2019-09-24 17:48
Lenovo|TPT430i5-3210M|14.0|Intel Ci5-3210M|8|240|696897750199|449|https://www.frys.com/product/9779764?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo Thinkpad T430 14'" Refurbished Laptop With Intel Ci5-3210M Processor, 8GB Memory, 240GB SSD, Windows 10 Pro"|2019-09-24 17:48
HP|EB8440Pi5-520M|14.0|Intel Ci5-520M|4|160|696897763816|249|https://www.frys.com/product/9911496?site=sr:SEARCH:MAIN_RSLT_PG|"HP EB 8440P 14'" Refurbished Laptop With Intel Ci5-520M Processor, 4GB Memory, 160GB Hard Drive, DVD Rom, Windows 10"|2019-09-24 17:48
Dell|E5440i5-4300U|14.0|Intel Ci5-4300U|8|120|696897752919|399|https://www.frys.com/product/9831245?site=sr:SEARCH:MAIN_RSLT_PG|"Dell E5440 14'" Refurbished Laptop With Intel Ci5-4300U Processor, 8GB Memory, 120GB SSD, Windows 10"|2019-09-24 17:48
HP|ChromeBkG4N2840|11.6|Intel Celeron N2840|2|16|724962748779|149|https://www.frys.com/product/9941276?site=sr:SEARCH:MAIN_RSLT_PG|"HP G4 11.6'" Refurbished Chromebook With Intel Celeron N2840 Processor, 2GB Memory, 16GB SSD, Chrome OS"|2019-09-24 17:48
Lenovo|TP11eCel.N2920|11.6|Intel Celeorn N2920|4|16|696897764240|149|https://www.frys.com/product/9914936?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP 11e 11.6'" Refurbished Chromebook With Intel Celeorn N2920 Processor, 4GB Memory, 16GB Storage, Chrome OS"|2019-09-24 17:48
Lenovo|TPT450i5-5200U|14.0|Intel Ci5-5200U|12|360|696897751318|549|https://www.frys.com/product/9841175?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP T450 14'" Refurbished Laptop With Intel Ci5-5200U Processor, 12GB Memory, 360GB SSD, Windows 10"|2019-09-24 17:48
HP|9470Ci5-3427U|14.0|Intel Ci5-3427U|8|180|696897734533|399|https://www.frys.com/product/9647553?site=sr:SEARCH:MAIN_RSLT_PG|"HP 9470 14'" Refurbished Laptop With Intel Ci5-3427U Processor, 8GB Memory, 180GB SSD, Windows 10 **90 Days Warranty**"|2019-09-24 17:48
Dell|Insp.5000Ryzen5|15.6|AMD Ryzen 5 2500U|8|1000|884116293217|599|https://www.frys.com/product/9922656?site=sr:SEARCH:MAIN_RSLT_PG|"Dell i5575-A217SLV-PUS 15.6'" FHD Laptop With AMD Ryzen 5 2500U Processor, 8GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
Lenovo|TPT440Pi5-4300M|14.0|Intel Ci5-4300M|8|120|696897751301|349|https://www.frys.com/product/9841165?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP T440P 14'" Refurbished Laptop With Intel Ci5-4300M Processor, 8GB Memory, 120GB SSD, Windows 10"|2019-09-24 17:48
Lenovo|TPX230i5-3320M|12.5|Intel Ci5-3320M|4|120|696897751325|279|https://www.frys.com/product/9841065?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo TP X230 12.5'" Refurbished Laptop With Intel Ci5-3320M Processor, 4GB Memory, 120GB SSD, Windows 10"|2019-09-24 17:48
HP|PB6470BCi5-3210M|14.0|Intel Ci5-3210M|8|500|696897751172|249|https://www.frys.com/product/9800005?site=sr:SEARCH:MAIN_RSLT_PG|"HP PB 6470B 14'" Refurbished Laptop With Intel Ci5-3210M Processor, 8GB Memory, 500GB Hard Drive, DVD-ROM, Windows 10"|2019-09-24 17:48
Dell|Insp14Ryzen53500U|14.0|AMD Ryzen5 3500U|8|""|884116315094|699|https://www.frys.com/product/9922666?site=sr:SEARCH:MAIN_RSLT_PG|"Dell i5485-A094SLV-PUS 14'" FHD Laptop With AMD Ryzen5 3500U Processor, 8GB Memory, 256GB SSD, Radeon Vega8 R5 Graphics, Windows 10"|2019-09-24 17:48
HP|17-by0063i7-8550U|17.3|Intel Ci7-8550U|8|1000|192545877015|699|https://www.frys.com/product/9914906?site=sr:SEARCH:MAIN_RSLT_PG|"HP 17-by0063cl 17.3'" Refurbished Touchscreen Laptop With Intel Ci7-8550U Processor, 8GB Memory, 1TB Hard Drive, Windows 10 - Pale Gold & Ash Silver"|2019-09-24 17:48
HP|15-da0021i5-8250U|15.6|Intel Ci5-8250U|8|1000|193015924024|599|https://www.frys.com/product/9914926?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-da0021cy 15.6'" Refurbished Touchscreen Laptop With Intel Ci5-8250U Processor, 8GB Memory, 16GB Optane Memory, 1TB Hard Drive, Windows 10 - Rose Gold"|2019-09-24 17:48
HP|15-db0051R32200U|15.6|AMD Ryzen R3 2200U|8|1000|192545876735|399|https://www.frys.com/product/9856025?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-db0051 15.6'" Refurbished Laptop With AMD Ryzen R3 2200U Processor, 8GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
HP|15-cr0087Ci5-8250U|15.6|Intel Ci5-8250U|8|1000|193015565371|649|https://www.frys.com/product/9939166?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-cr0087cl 15.6'" 2-in-1 Touchscreen Refurbished Laptop With Intel Ci5-8250U Processor, 8GB Memory, 1TB Hard Drive + 16GB Optane Memory, Windows 10 - PaleGold Ash Silver"|2019-09-24 17:48
HP|15-bq213Ryzen52500|15.6|AMD Ryzen 5 2500U|8|256|193015864566|649|https://www.frys.com/product/9911536?site=sr:SEARCH:MAIN_RSLT_PG|"HP 15-bq213cl 15.6'" Refurbished Touchscreen 2-in-1 Laptop With AMD Ryzen 5 2500U Processor, 8GB Memory, 256GB SSD, Windows 10"|2019-09-24 17:48
HP|15-cs0053i5-8250U|15.6|Intel Ci5-8250U|12|1000|192545671026|599|https://www.frys.com/product/9814085?site=sr:SEARCH:MAIN_RSLT_PG|"HP Pavilion 15-cs0053 15.6'" Touchscreen Refurbished Laptop With Intel Ci5-8250U Processor, 12GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
Lenovo|ThinkpadYoga11E|11.6|Intel Celeron N2930|4|320|696897736896|199|https://www.frys.com/product/9686093?site=sr:SEARCH:MAIN_RSLT_PG|"Lenovo Refurbished Thinkpad Yoga 11E 11.6'" Touchscreen 2-in-1 Laptop With Intel Celeron N2930 Processor, 4GB memory, 320GB HD and Windows10 Home"|2019-09-24 17:48
Acer|A315-RFRyzen32200U|15.6|Ryzen 3 2200U|8|1000|191114710968|449|https://www.frys.com/product/9914666?site=sr:SEARCH:MAIN_RSLT_PG|"Acer A315-41-R3RF 15.6'" Laptop With Ryzen 3 2200U Processor, 8GB Memory, 1TB Hard Drive, Windows 10"|2019-09-24 17:48
